"Month, Year",HM,CF,FF
Jan-16,5598648,2352671,1399660
Feb-16,5840210,2394392,1448157
Mar-16,5909899,2461847,1453511
Apr-16,5799715,2455722,1461148
May-16,6080407,2533501,1507504
Jun-16,6056108,2504226,1514266
Jul-16,6163373,2547327,1553107
Aug-16,6537463,2723694,1620900
Sep-16,6382884,2617860,1609076
Oct-16,6343865,2663903,1611235
Nov-16,6490244,2748759,1661883
Dec-16,6340076,2599316,1559588
Jan-17,6685774,2808128,1698295
Feb-17,7152982,2911445,1759942
Mar-17,6817973,2886869,1732267
Apr-17,6863707,2813861,1715924
May-17,6964094,2878324,1754566
Jun-17,7167558,2962089,1748524
Jul-17,6840830,2944269,1751563
Aug-17,7497876,3173062,1888539
Sep-17,7352926,3063462,1809174
Oct-17,7170291,2987291,1806878
Nov-17,7549336,3096246,1887120
Dec-17,7707776,3186172,1942176
Jan-18,7887763,3234631,1926117
Feb-18,7990228,3328733,2028810
Mar-18,7654312,3139645,1883343
Apr-18,7947352,3285062,2019461
May-18,8186393,3438398,2063039
Jun-18,7629715,3256752,1954050
Jul-18,8012517,3338673,1987216
Aug-18,8060250,3467244,2014826
Sep-18,7922921,3327230,1997118
Oct-18,6781234,2862020,1730781
Nov-18,7386402,3052314,1860819
Dec-18,6954506,2874069,1710520
Jan-19,7568561,3128423,1861751
Feb-19,7350256,3061564,1866627
Mar-19,7267799,3003545,1802980
Apr-19,7317841,3073157,1859086
May-19,7620829,3175075,1890213
Jun-19,7124175,2921766,1752262
Jul-19,6956441,2852679,1738859
Aug-19,7190660,2995435,1768857
Sep-19,7142860,3023767,1815026
